,stock_code,stock_name,stock_inner_code,index_code,index_name
100,600887,内蒙古伊利实业集团股份有限公司,2138,000300,沪深300指数
101,600893,中国航发动力股份有限公司,2144,000300,沪深300指数
102,600900,中国长江电力股份有限公司,2151,000300,沪深300指数
103,002007,华兰生物工程股份有限公司,2684,000300,沪深300指数
104,002027,分众传媒信息技术股份有限公司,2723,000300,沪深300指数
105,002028,思源电气股份有限公司,2725,000300,沪深300指数
106,600482,中国船舶重工集团动力股份有限公司,2895,000300,沪深300指数
107,600027,华电国际电力股份有限公司,3054,000300,沪深300指数
108,002049,紫光国芯微电子股份有限公司,3252,000300,沪深300指数
109,002050,浙江三花智能控制股份有限公司,3290,000300,沪深300指数
110,601988,中国银行股份有限公司,4373,000300,沪深300指数
111,600048,保利发展控股集团股份有限公司,4431,000300,沪深300指数
112,601006,大秦铁路股份有限公司,4451,000300,沪深300指数
113,601111,中国国际航空股份有限公司,4521,000300,沪深300指数
114,601699,山西潞安环保能源开发股份有限公司,4587,000300,沪深300指数
115,002074,国轩高科股份有限公司,4699,000300,沪深300指数
116,601398,中国工商银行股份有限公司,4725,000300,沪深300指数
117,600018,上海国际港务(集团)股份有限公司,4788,000300,沪深300指数
118,601872,招商局能源运输股份有限公司,4837,000300,沪深300指数
119,601628,中国人寿保险股份有限公司,4945,000300,沪深300指数
120,601166,兴业银行股份有限公司,5011,000300,沪深300指数
121,601318,中国平安保险(集团)股份有限公司,5179,000300,沪深300指数
122,002129,TCL中环新能源科技股份有限公司,5264,000300,沪深300指数
123,000338,潍柴动力股份有限公司,5312,000300,沪深300指数
124,601998,中信银行股份有限公司,5324,000300,沪深300指数
125,601328,交通银行股份有限公司,5432,000300,沪深300指数
126,601600,中国铝业股份有限公司,5437,000300,沪深300指数
127,601919,中远海运控股股份有限公司,5563,000300,沪深300指数
128,002142,宁波银行股份有限公司,5684,000300,沪深300指数
129,601009,南京银行股份有限公司,5685,000300,沪深300指数
130,601169,北京银行股份有限公司,6114,000300,沪深300指数
131,002179,中航光电科技股份有限公司,6151,000300,沪深300指数
132,002180,纳思达股份有限公司,6178,000300,沪深300指数
133,601939,中国建设银行股份有限公司,6179,000300,沪深300指数
134,601808,中海油田服务股份有限公司,6187,000300,沪深300指数
135,601088,中国神华能源股份有限公司,6203,000300,沪深300指数
136,601857,中国石油天然气股份有限公司,6233,000300,沪深300指数
137,601390,中国中铁股份有限公司,6364,000300,沪深300指数
138,601601,中国太平洋保险(集团)股份有限公司,6447,000300,沪深300指数
139,601899,紫金矿业集团股份有限公司,6548,000300,沪深300指数
140,601898,中国中煤能源股份有限公司,6599,000300,沪深300指数
141,601186,中国铁建股份有限公司,6630,000300,沪深300指数
142,002230,科大讯飞股份有限公司,6735,000300,沪深300指数
143,002236,浙江大华技术股份有限公司,6816,000300,沪深300指数
144,002252,上海莱士血液制品股份有限公司,6827,000300,沪深300指数
145,002241,歌尔股份有限公司,6857,000300,沪深300指数
146,601668,中国建筑股份有限公司,7033,000300,沪深300指数
147,002271,北京东方雨虹防水技术股份有限公司,7055,000300,沪深300指数
148,601766,中国中车股份有限公司,7098,000300,沪深300指数
149,601788,光大证券股份有限公司,7099,000300,沪深300指数
150,600999,招商证券股份有限公司,7329,000300,沪深300指数
151,601633,长城汽车股份有限公司,7389,000300,沪深300指数
152,601888,中国旅游集团中免股份有限公司,8990,000300,沪深300指数
153,601989,中国船舶重工股份有限公司,9023,000300,沪深300指数
154,002304,江苏洋河酒厂股份有限公司,9033,000300,沪深300指数
155,002311,广东海大集团股份有限公司,9159,000300,沪深300指数
156,601618,中国冶金科工股份有限公司,9184,000300,沪深300指数
157,601117,中国化学工程股份有限公司,9244,000300,沪深300指数
158,300014,惠州亿纬锂能股份有限公司,9320,000300,沪深300指数
159,300015,爱尔眼科医院集团股份有限公司,9358,000300,沪深300指数
160,300033,浙江核新同花顺网络信息股份有限公司,9365,000300,沪深300指数
161,601877,浙江正泰电器股份有限公司,9367,000300,沪深300指数
162,002352,顺丰控股股份有限公司,9643,000300,沪深300指数
163,601688,华泰证券股份有限公司,9843,000300,沪深300指数
164,601058,赛轮集团股份有限公司,9855,000300,沪深300指数
165,002371,北方华创科技集团股份有限公司,9892,000300,沪深300指数
166,300059,东方财富信息股份有限公司,10296,000300,沪深300指数
167,002415,杭州海康威视数字技术股份有限公司,10345,000300,沪深300指数
168,002422,四川科伦药业股份有限公司,10419,000300,沪深300指数
